Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,41.153000,41.153000,41.153000,41.153000,27.500854,0
2017-06-02,41.264999,41.264999,41.264999,41.264999,27.575699,0
2017-06-06,41.467999,41.467999,41.467999,41.467999,27.711351,0
2017-06-07,41.459999,41.459999,41.459999,41.459999,27.706009,40
2017-06-08,41.264999,41.264999,41.264999,41.264999,27.575699,0
2017-06-09,41.389999,41.389999,41.389999,41.389999,27.659225,0
2017-06-12,42.048000,42.048000,42.048000,42.048000,28.098938,0
2017-06-13,41.634998,41.634998,41.634998,41.634998,27.822950,0
2017-06-14,41.358002,41.358002,41.358002,41.358002,27.637846,0
2017-06-15,41.358002,41.358002,41.358002,41.358002,27.637846,0
2017-06-16,41.583000,41.583000,41.583000,41.583000,27.788210,0
2017-06-19,41.980000,42.000000,41.553001,41.553001,27.768148,2300
2017-06-20,41.689999,41.689999,41.270000,41.270000,27.579035,64
2017-06-21,40.770000,40.770000,40.770000,40.770000,27.244913,0
2017-06-22,40.842999,40.842999,40.842999,40.842999,27.293690,0
2017-06-23,40.502998,40.502998,40.502998,40.502998,27.066477,0
2017-06-26,40.830002,40.830002,40.830002,40.830002,27.285002,0
2017-06-27,39.740002,39.740002,39.740002,39.740002,26.556601,0
2017-06-28,39.580002,39.580002,39.580002,39.580002,26.449686,0
2017-06-29,39.674999,39.674999,39.189999,39.189999,26.189060,192
2017-06-30,38.985001,38.985001,38.935001,38.935001,26.018656,56
2017-07-03,39.548000,39.548000,39.548000,39.548000,26.428299,0
2017-07-04,39.743000,39.743000,39.743000,39.743000,26.558607,0
2017-07-05,39.320000,39.320000,39.320000,39.320000,26.275938,0
2017-07-06,38.243000,38.243000,38.243000,38.243000,25.556221,0
2017-07-07,38.020000,38.020000,38.020000,38.020000,25.407198,0
2017-07-10,38.088001,38.088001,38.088001,38.088001,25.452637,0
2017-07-11,37.518002,37.518002,37.518002,37.518002,25.071730,0
2017-07-12,37.840000,37.840000,37.840000,37.840000,25.286909,0
2017-07-13,38.084999,38.084999,38.084999,38.084999,25.450632,0
2017-07-14,38.162998,38.162998,38.162998,38.162998,25.502752,0
2017-07-17,38.200001,38.200001,38.105000,38.105000,25.464003,10
2017-07-18,37.759998,37.759998,37.759998,37.759998,25.233450,0
2017-07-19,37.638000,37.638000,37.638000,37.638000,25.151922,0
2017-07-20,37.682999,37.682999,37.682999,37.682999,25.181988,0
2017-07-21,37.717999,37.717999,37.717999,37.717999,25.205383,0
2017-07-24,37.717999,37.717999,37.717999,37.717999,25.205383,0
2017-07-25,37.750000,37.750000,37.750000,37.750000,25.226767,0
2017-07-26,38.119999,38.119999,38.119999,38.119999,25.474022,0
2017-07-27,40.750000,40.750000,40.750000,40.750000,27.231539,0
2017-07-28,40.318001,40.318001,40.318001,40.318001,26.942854,0
2017-07-31,40.318001,40.318001,40.318001,40.318001,26.942854,0
2017-08-01,40.318001,40.318001,40.318001,40.318001,26.942854,0
2017-08-02,40.318001,40.318001,40.318001,40.318001,26.942854,0
2017-08-03,40.318001,40.318001,40.318001,40.318001,26.942854,0
